Криптовалюта,Общий объем,Средний дневной объем,Средняя дневная волатильность,Средняя цена,Мин цена,Макс цена,Стандартное отклонение,Количество дней
Bitcoin,39977944556813,36442975894.99818,0.034734074559159854,66255.34080873974,18869.587890625,124752.53125,31535.44602604635,1097
Ethereum,20301332668782,18506228503.903374,0.04632579949716302,2655.050247567941,1417.9384765625,4831.3486328125,830.6587603069141,1097
Solana,3682836787791,3357189414.5770283,0.06545929229166338,119.48292020938564,14.486572265625,261.8697509765625,69.85079837327494,1097
XRP,3667786362010,3343469792.1695533,0.053459976136588865,1.2657856622824586,0.36055800318717957,3.55576491355896,0.9647507721944771,1097
Cardano,819776050186,747289015.6663628,0.05938148872579971,0.5302304993761379,0.24187299609184265,1.2311069965362549,0.22004736176092926,1097
